,show,id,character_noSpace,character_space,x_coord,y_coord
0,AD,52,BusterBluth,Buster Bluth,122.55671801209711,-324.6524758126981
1,AD,48,G.O.B.Bluth,G.O.B. Bluth,591.8857696865167,200.2987557735265
2,AD,46,GeorgeBluthSr.,George Bluth Sr.,-58.012664420234344,481.96214991559276
3,AD,53,GeorgeMichaelBluth,George Michael Bluth,-438.8616664047511,-552.9255391806722
4,AD,50,LindsayBluthFunke,Lindsay Bluth Funke,162.38846750064977,44.197927383862464
5,AD,47,LucilleBluth,Lucille Bluth,16.635922618175837,480.08376844801444
6,AD,54,MaebyFunke,Maeby Funke,337.5110400502911,5.365011708902255
7,AD,49,MichaelBluth,Michael Bluth,-510.760432499648,-383.84565949860786
8,AD,51,TobiasFunke,Tobias Funke,536.1978051334121,-368.47424400139397
9,BB,63,GustavoFring,Gustavo Fring,-477.4906397127595,674.4905772557165
10,BB,59,HankSchrader,Hank Schrader,-487.09598416188936,-522.0389856432432
11,BB,56,JessePinkman,Jesse Pinkman,525.2691187599651,-181.86407283109693
12,BB,60,MarieSchrader,Marie Schrader,27.975785864426733,-324.41514817535324
13,BB,61,MikeEhrmantraut,Mike Ehrmantraut,-318.7096561802177,151.62417228224388
14,BB,62,SaulGoodman,Saul Goodman,128.09763990351126,129.14122130264832
15,BB,57,SkylerWhite,Skyler White,-83.6090485317553,-156.07377704867136
16,BB,55,WalterWhite,Walter White,-27.961996549233177,554.9883630006142
17,BB,58,WalterWhiteJr.,Walter White Jr.,-323.9801516321639,-597.3073032028926
18,C,66,AbedNadir,Abed Nadir,159.46950106011155,-490.44044512675305
19,C,68,AnnieEdison,Annie Edison,-639.3809171809052,-543.1179861963136
20,C,72,BenChang,Ben Chang,852.4029988172813,550.8740681497064
21,C,65,BrittaPerry,Britta Perry,431.73658337743035,-255.3852486631098
22,C,71,CraigPelton,Craig Pelton,169.4994682582283,-179.3329580511239
23,C,64,JeffWinger,Jeff Winger,-91.92194655940624,62.47483937256945
24,C,70,PierceHawthorne,Pierce Hawthorne,235.9641094134383,551.3545546499483
25,C,69,ShirleyBennett,Shirley Bennett,-440.76815049590306,-409.42322619164713
26,C,67,TroyBarnes,Troy Barnes,346.0706217589325,-684.5344821875312
27,LA,73,Aang,Aang,-158.39806961545133,-844.267591205187
28,LA,80,Appa,Appa,-126.87274896365565,-479.0771170677441
29,LA,79,Azula,Azula,302.9106607123112,704.2538468789448
30,LA,78,Iroh,Iroh,-178.76244625237584,-609.2729441527971
31,LA,74,Katara,Katara,-413.32209448515687,-741.7197513620646
32,LA,81,Momo,Momo,479.86038447232875,-345.74235749431955
33,LA,75,Sokka,Sokka,251.5007821798697,-681.4046540566594
34,LA,76,Toph,Toph,452.90338634968646,-486.0989349663638
35,LA,77,Zuko,Zuko,-120.73562099554799,-177.92300399973612
36,RM,11,BethSmith,Beth Smith,-241.30919116412323,-246.8947321723975
37,RM,15,JerrySmith,Jerry Smith,-250.93742567958145,-277.8456062552766
38,RM,14,MortySmith,Morty Smith,-41.89781234561933,-391.3057090308439
