show,character,x_coord,y_coord,storedLocally,id
UA,SirReginaldHargreeves,-925.6756756756756,854.4303797468353,1,0
UA,Pogo,-736.4864864864865,-791.1392405063291,1,1
UA,Grace,-87.83783783783781,-689.873417721519,1,2
UA,LutherHargreeves,236.48648648648648,474.6835443037976,1,3
UA,DiegoHargreeves,-628.3783783783783,-94.9367088607595,1,4
UA,AllisonHargreeves,-385.1351351351351,613.9240506329113,1,5
UA,KlausHargreeves,412.1621621621621,-94.9367088607595,1,6
UA,BenHargreeves,-74.32432432432438,31.645569620253127,1,8
UA,VanyaHargreeves,777.0270270270269,-31.645569620253127,1,9
UA,TheHandler,858.1081081081081,829.1139240506329,1,10
LA,Momo,614.864864864865,-436.7088607594936,1,81
UA,SirReginaldHargreeves,382.2504155420463,286.3494349344287,1,0
UA,LutherHargreeves,-850.7131585606305,-453.1201438487227,1,3
UA,DiegoHargreeves,-258.0031502265748,-474.9610174836681,1,4
UA,AllisonHargreeves,-559.1125004642928,-874.3369687180066,1,5
UA,KlausHargreeves,740.411966991878,-565.4446368284418,1,6
UA,NumberFive,417.1157087274664,-715.2106036634043,1,7
UA,BenHargreeves,-13.94609792863514,-793.2137237882093,1,8
UA,VanyaHargreeves,-115.37240537712955,-749.5319765183185,1,9
UA,TheHandler,629.4769432200872,844.8518702466849,1,10
TO,MichaelScott,680.1900969443343,467.31667362397616,1,16
RM,BethSmith,137.313432835821,-812.6838235294117,1,11
RM,SummerSmith,214.9253731343283,-486.2132352941177,1,12
RM,RickSanchez,871.641791044776,234.375,1,13
RM,MortySmith,871.641791044776,-230.3308823529412,1,14
RM,JerrySmith,41.791044776119406,-818.5661764705883,1,15
TO,MichaelScott,880.5970149253733,-906.8014705882352,1,16
TO,JimHalpert,-480.59701492537306,-318.5661764705883,1,17
TO,PamBeesly,-725.3731343283582,-586.2132352941177,1,18
TO,DwightSchrute,-829.8507462686567,334.375,1,19
TO,StanleyHudson,-11.940298507462671,37.31617647058829,1,20
TO,PhyllisLapin-Vance,-14.925373134328424,-930.3308823529412,1,21
TO,AndyBernard,582.0895522388059,-606.8014705882354,1,22
TO,AngelaMartin,-823.8805970149253,799.0808823529412,1,23
TO,OscarMartinez,-797.0149253731344,-880.3308823529412,1,24
TO,DarrylPhilbin,-791.044776119403,-859.7426470588235,1,25
UA,SirReginaldHargreeves,-945.7627118644068,931.3541666666669,1,0
UA,Pogo,-145.7627118644068,-95.3125,1,1
UA,Grace,-152.54237288135596,-965.3125,1,2
UA,LutherHargreeves,-627.1186440677966,-468.64583333333337,1,3
UA,DiegoHargreeves,281.3559322033898,-278.64583333333337,1,4
UA,AllisonHargreeves,288.13559322033893,-711.9791666666667,1,5
UA,KlausHargreeves,277.9661016949153,164.6875,1,6
UA,NumberFive,-349.1525423728814,331.3541666666665,1,7
UA,BenHargreeves,125.42372881355936,288.0208333333335,1,8
UA,VanyaHargreeves,932.2033898305084,-175.3125,1,9
UA,TheHandler,955.9322033898306,928.0208333333331,1,10
TB,BillyButcher,908.4745762711866,524.6875,1,26
TB,HughieCampbell,-888.1355932203389,531.3541666666665,1,27
TB,Mother'sMilk,-308.4745762711865,-465.3125,1,28
TB,Frenchie,800.0,-371.9791666666666,1,29
TB,Kimiko,1027.1186440677966,-615.3125,1,30
TB,Homelander,579.6610169491526,924.6875,1,31
TB,QueenMaeve,-349.1525423728814,-175.3125,1,32
TB,BlackNoir,0.0,244.6875,1,33
